player_id,player_name,team,role,matches,runs,balls,strike_rate,average,wickets,overs,economy,catches,age,country
38,Andre Russell,KKR,All-rounder,14,360,195,184.62,40.00,18,42,8.62,11,38,West Indies
39,Sunil Narine,KKR,All-rounder,14,340,205,165.85,30.91,17,56,6.75,8,38,West Indies
40,Varun Chakravarthy,KKR,Bowler,14,6,10,60.00,3.00,21,56,7.05,4,35,India
41,Pat Cummins,SRH,All-rounder,14,240,150,160.00,24.00,18,56,7.42,7,33,Australia
42,Travis Head,SRH,Batsman,14,620,385,161.04,51.67,0,0,0.00,5,32,Australia
43,Abhishek Sharma,SRH,All-rounder,14,510,305,167.21,42.50,8,20,8.48,6,26,India
44,Heinrich Klaasen,SRH,Wicketkeeper,14,495,270,183.33,49.50,0,0,0.00,9,35,South Africa
45,Mohammed Shami,SRH,Bowler,14,12,20,60.00,6.00,20,55,7.15,2,35,India
46,Rishabh Pant,LSG,Wicketkeeper,14,530,340,155.88,44.17,0,0,0.00,11,28,India
47,Nicholas Pooran,LSG,Wicketkeeper,14,575,315,182.54,52.27,0,0,0.00,8,31,West Indies
48,Aiden Markram,LSG,All-rounder,14,390,260,150.00,35.45,7,24,8.25,5,31,South Africa
49,Ravi Bishnoi,LSG,Bowler,14,8,12,66.67,4.00,20,56,7.08,3,25,India
50,Mayank Yadav,LSG,Bowler,14,5,8,62.50,2.50,18,48,6.92,2,24,India
51,David Miller,LSG,Batsman,14,420,275,152.73,38.18,0,0,0.00,8,37,South Africa
52,Ayush Badoni,LSG,Batsman,14,315,205,153.66,31.50,0,0,0.00,5,25,India
53,Avesh Khan,LSG,Bowler,14,10,15,66.67,5.00,19,54,7.52,2,29,India
54,Mohsin Khan,LSG,Bowler,14,8,12,66.67,4.00,17,50,7.30,3,27,India
55,Abdul Samad,LSG,All-rounder,14,245,145,168.97,27.22,4,10,8.90,4,25,India
56,Nitish Rana,RR,Batsman,14,385,260,148.08,35.00,0,0,0.00,6,32,India
57,Dhruv Jurel,RR,Wicketkeeper,14,340,215,158.14,34.00,0,0,0.00,9,24,India
58,Shimron Hetmyer,RR,Batsman,14,355,205,173.17,39.44,0,0,0.00,5,30,West Indies
59,Ravichandran Ashwin,RR,All-rounder,14,145,110,131.82,18.12,13,52,7.15,7,39,India
60,Sandeep Sharma,RR,Bowler,14,6,10,60.00,3.00,18,56,7.08,2,33,India
61,Rahul Tripathi,SRH,Batsman,14,365,240,152.08,33.18,0,0,0.00,6,34,India
62,Ishan Kishan,SRH,Wicketkeeper,14,485,305,159.02,40.42,0,0,0.00,10,27,India
63,Nitish Kumar Reddy,SRH,All-rounder,14,325,205,158.54,32.50,10,28,8.10,5,23,India
64,Harshal Patel,SRH,Bowler,14,12,18,66.67,6.00,21,54,7.42,3,35,India
65,Adam Zampa,SRH,Bowler,14,5,8,62.50,2.50,18,56,7.18,4,34,Australia
66,Ramandeep Singh,KKR,All-rounder,14,245,145,168.97,30.62,6,16,8.45,8,28,India
67,Venkatesh Iyer,KKR,All-rounder,14,445,290,153.45,40.45,5,14,8.62,7,31,India
68,Quinton de Kock,KKR,Wicketkeeper,14,455,305,149.18,41.36,0,0,0.00,9,33,South Africa
69,Harshit Rana,KKR,Bowler,14,8,10,80.00,4.00,20,54,7.15,2,25,India
70,Anrich Nortje,KKR,Bowler,14,5,8,62.50,2.50,17,52,7.62,3,32,South Africa
71,Jake Fraser-McGurk,DC,Batsman,14,465,260,178.85,42.27,0,0,0.00,5,24,Australia
72,Tristan Stubbs,DC,Batsman,14,395,235,168.09,39.50,0,0,0.00,8,25,South Africa
73,T Natarajan,DC,Bowler,14,8,12,66.67,4.00,19,56,7.22,2,35,India
74,Mukesh Kumar,DC,Bowler,14,6,10,60.00,3.00,17,54,7.55,2,32,India
75,Ashutosh Sharma,DC,All-rounder,14,285,170,167.65,31.67,4,12,8.35,4,27,India
76,Tim David,RCB,All-rounder,14,295,170,173.53,32.78,3,8,8.75,6,30,Australia
77,Krunal Pandya,RCB,All-rounder,14,210,165,127.27,23.33,14,52,7.18,9,35,India
78,Yash Dayal,RCB,Bowler,14,6,9,66.67,3.00,18,54,7.22,2,28,India
79,Romario Shepherd,RCB,All-rounder,14,180,95,189.47,30.00,8,22,8.55,5,31,West Indies
80,Swapnil Singh,RCB,All-rounder,14,120,90,133.33,20.00,9,30,7.95,6,34,India
81,Deepak Chahar,MI,Bowler,14,15,18,83.33,7.50,17,52,7.45,3,33,India
82,Naman Dhir,MI,All-rounder,14,245,155,158.06,30.62,5,16,8.20,4,25,India
83,Mitchell Santner,MI,All-rounder,14,165,125,132.00,23.57,12,50,7.12,8,34,New Zealand
84,Ryan Rickelton,MI,Wicketkeeper,14,405,275,147.27,36.82,0,0,0.00,10,29,South Africa
85,Reece Topley,MI,Bowler,14,5,8,62.50,2.50,16,52,7.38,2,32,England
86,Shivam Dube,CSK,All-rounder,14,425,260,163.46,38.64,2,6,9.15,6,32,India
87,Rachin Ravindra,CSK,All-rounder,14,455,315,144.44,41.36,7,20,8.05,8,26,New Zealand
88,Noor Ahmad,CSK,Bowler,14,5,7,71.43,2.50,21,56,6.82,3,21,Afghanistan
89,Deepak Hooda,CSK,All-rounder,14,205,145,141.38,22.78,4,14,8.42,5,31,India
90,Khaleel Ahmed,CSK,Bowler,14,6,10,60.00,3.00,18,54,7.28,2,28,India
91,Washington Sundar,GT,All-rounder,14,225,170,132.35,25.00,11,46,7.25,7,27,India
92,Sherfane Rutherford,GT,Batsman,14,310,185,167.57,34.44,0,0,0.00,4,28,West Indies
93,Gerald Coetzee,GT,Bowler,14,5,8,62.50,2.50,18,52,7.35,2,25,South Africa
94,Kagiso Rabada,GT,Bowler,14,8,12,66.67,4.00,20,56,7.02,3,31,South Africa
95,Glenn Phillips,GT,All-rounder,14,270,160,168.75,33.75,6,18,8.48,8,29,New Zealand
96,Harpreet Brar,PBKS,All-rounder,14,145,105,138.10,20.71,13,48,7.08,7,30,India
97,Josh Inglis,PBKS,Wicketkeeper,14,395,250,158.00,39.50,0,0,0.00,9,30,Australia
98,Marco Jansen,PBKS,All-rounder,14,205,145,141.38,25.62,15,54,7.32,8,26,South Africa
99,Lockie Ferguson,PBKS,Bowler,14,5,8,62.50,2.50,18,52,7.55,2,34,New Zealand
100,Nehal Wadhera,PBKS,Batsman,14,345,225,153.33,34.50,0,0,0.00,5,24,India
